0,1,2,3,11,12,22,23,24,25
0,1,2,3,11,12,22,23,26,27
0,1,2,3,11,12,22,23,26,33
0,1,2,3,11,12,22,23,27,33
0,1,2,3,11,12,22,23,27,34
0,1,2,3,11,12,22,23,24,35
0,1,2,3,11,12,22,23,24,36
0,1,2,3,11,12,22,23,24,38
0,1,2,3,11,12,22,24,26,34
0,1,2,3,11,12,24,25,26,27
0,1,2,3,11,12,23,24,25,34
0,1,2,3,11,12,23,24,25,38
0,1,2,3,11,12,23,25,27,35
0,1,2,3,11,12,24,25,26,34
0,1,2,3,11,12,24,25,26,33
0,1,2,3,11,12,24,25,33,37
0,1,2,10,11,12,23,27,33,37
0,1,2,3,11,12,24,27,33,38
0,1,2,3,11,12,24,26,33,35
0,1,2,3,11,12,24,26,34,36
0,1,2,3,11,12,24,26,35,37
0,1,2,3,11,12,24,26,35,38
0,1,3,9,11,12,24,27,30,33
0,1,2,3,11,12,24,25,36,37
0,1,2,3,11,12,21,22,26,33
0,1,2,3,11,20,22,24,26,34
0,1,2,10,11,12,23,25,33,35
0,1,2,3,11,12,23,24,25,26
0,1,2,3,20,21,22,27,34,35
0,1,2,3,11,20,22,24,26,35
0,1,2,10,12,21,24,27,33,35
0,1,2,3,11,12,21,24,26,36
0,1,2,10,12,22,25,27,37,39
0,1,3,9,11,12,24,30,36,38
0,1,2,3,11,20,21,23,24,27
0,1,2,3,11,12,26,27,35,36
0,1,2,3,11,12,26,27,35,38
0,1,2,10,12,21,25,27,33,36
0,1,2,10,12,21,27,33,36,39
0,1,2,3,11,20,26,34,36,38
0,1,2,10,11,12,25,27,35,37
0,1,2,3,11,12,35,36,37,38
0,1,2,3,20,21,26,27,34,39
0,1,2,3,11,20,27,34,36,38
0,1,2,3,11,12,21,26,27,32
0,1,2,3,11,20,21,26,27,32
0,1,2,10,11,12,21,27,31,37
0,1,2,3,11,20,21,26,34,35
0,1,2,10,11,12,21,25,31,35
0,1,2,3,20,21,26,27,34,35
0,1,2,10,12,21,25,27,33,35
0,1,3,9,11,12,24,26,32,38
0,1,2,3,11,12,24,25,26,32
0,1,2,3,11,12,22,23,31,35
0,1,2,3,11,12,23,24,27,28
0,1,2,3,11,22,23,24,28,35
0,1,2,3,11,22,23,28,34,35
0,1,2,3,22,27,28,29,34,35
0,1,2,3,24,25,30,31,32,37
0,1,2,3,11,12,33,34,35,36
0,1,2,3,11,12,24,27,33,35
0,1,3,9,11,12,22,24,28,33
0,1,3,9,11,12,22,24,33,36
0,1,2,3,11,12,22,24,31,33
0,1,2,3,11,12,22,24,33,35
0,1,2,3,11,22,24,26,28,35
0,1,2,10,12,21,23,27,29,35
0,1,3,9,11,12,20,23,26,32
0,1,3,9,11,12,20,26,32,34
0,1,2,10,12,21,23,29,32,35
0,1,2,3,11,23,30,32,34,36
0,1,2,3,11,22,23,30,31,36
0,1,2,3,22,23,30,35,36,37
0,1,2,3,11,12,31,32,33,34
0,1,2,3,11,22,23,28,36,37
0,1,2,3,11,12,20,23,24,34
0,1,2,3,11,12,24,25,34,35
0,1,2,3,11,26,27,29,30,33
0,1,2,3,11,24,26,27,29,30
0,1,2,3,11,12,23,25,29,34
0,1,3,9,11,12,23,26,29,32
0,1,2,3,11,12,30,33,36,39
0,1,3,9,11,12,22,25,28,39
0,1,3,9,11,12,22,25,36,39
0,1,2,3,11,12,20,23,37,38
0,1,2,3,11,23,24,26,27,30
0,1,2,3,11,12,21,25,26,27
0,1,2,3,11,12,21,25,27,36
0,1,2,3,11,12,20,24,27,29
0,1,2,3,11,12,20,24,25,26
0,1,2,3,11,12,20,25,26,27
0,1,2,3,11,12,24,25,26,38
0,1,2,10,11,12,24,26,34,36
